iter	Passed	Remaining
463	755	873
464	757	871
465	759	870
466	760	867
467	763	867
468	764	865
469	765	863
470	767	861
471	768	859
472	769	857
473	770	854
474	771	853
475	773	851
476	774	849
477	775	847
478	776	845
479	778	842
480	779	840
481	780	838
482	781	836
483	782	834
484	783	832
485	786	831
486	788	830
487	790	829
488	791	827
489	793	825
490	794	823
491	795	821
492	796	819
493	797	817
494	798	814
495	799	812
496	801	810
497	804	810
498	805	808
499	806	806
500	807	804
501	808	802
502	809	800
503	810	798
504	812	796
505	813	794
506	814	792
507	815	789
508	817	788
509	818	786
510	820	784
511	821	782
512	822	780
513	823	779
514	825	777
515	826	775
516	827	773
517	828	771
518	829	769
519	832	768
520	833	766
521	834	763
522	835	761
523	836	759
524	837	757
525	838	755
526	839	753
527	840	751
528	841	749
529	842	747
530	843	745
531	844	743
532	848	743
533	849	741
534	851	739
535	853	738
536	855	737
537	856	735
538	858	733
539	859	732
540	861	730
541	862	729
542	864	727
543	867	726
544	868	725
545	869	723
546	871	721
547	872	719
548	875	719
549	881	720
550	884	720
551	886	719
552	889	718
553	892	718
554	894	717
555	895	715
556	896	713
557	897	711
558	898	708
559	899	707
560	901	705
561	902	703
562	904	702
563	908	702
564	910	701
565	911	699
566	913	697
567	914	695
568	916	693
569	918	692
570	922	692
571	923	690
572	924	689
573	925	687
574	928	686
575	930	684
576	932	683
577	933	681
578	936	680
579	938	679
580	939	677
581	941	676
582	944	675
583	945	673
584	946	671
585	948	669
586	949	667
587	951	666
588	952	664
589	953	662
590	954	660
591	955	658
592	957	656
593	958	655
594	959	653
595	960	651
596	961	649
597	963	647
598	966	647
599	968	645
600	969	643
601	971	642
602	972	640
603	973	638
604	975	636
605	976	634
606	977	632
607	978	630
608	979	629
609	981	627
610	982	625
611	983	623
612	984	621
613	985	619
614	987	617
615	988	615
616	989	614
617	990	612
618	991	610
619	992	608
620	994	606
621	995	605
622	997	603
623	998	601
624	999	599
625	1000	597
626	1001	595
627	1002	594
628	1003	592
629	1005	590
630	1006	588
631	1007	586
632	1008	584
633	1010	583
634	1012	581
635	1013	580
636	1015	578
637	1016	576
638	1017	574
639	1018	573
640	1020	571
641	1021	569
642	1022	567
643	1022	565
644	1024	563
645	1025	562
646	1027	560
647	1028	558
648	1030	557
649	1031	555
650	1032	553
651	1033	551
652	1034	549
653	1035	548
654	1037	546
655	1038	544
656	1039	542
657	1041	541
658	1042	539
659	1043	537
660	1044	535
661	1045	534
662	1046	532
663	1048	530
664	1049	528
665	1050	526
666	1052	525
667	1053	523
668	1054	521
669	1056	520
670	1057	518
671	1058	516
672	1059	514
673	1060	513
674	1061	511
675	1062	509
676	1063	507
677	1064	505
678	1065	503
679	1066	501
680	1067	499
681	1068	498
682	1069	496
683	1070	494
684	1071	492
685	1072	491
686	1073	489
687	1075	487
688	1077	486
689	1078	484
690	1080	482
691	1081	481
692	1082	479
693	1083	477
694	1084	476
695	1086	474
696	1087	472
697	1088	470
698	1090	469
699	1092	468
700	1093	466
701	1094	464
702	1095	462
703	1096	461
704	1097	459
705	1098	457
706	1100	455
707	1101	454
708	1102	452
709	1104	451
710	1106	449
711	1107	447
712	1108	446
713	1110	444
714	1111	442
715	1112	441
716	1113	439
717	1114	437
718	1115	436
719	1116	434
720	1118	432
721	1121	431
722	1122	430
723	1124	428
724	1125	426
725	1126	425
726	1127	423
727	1128	421
728	1129	420
729	1130	418
730	1132	416
731	1136	415
732	1137	414
733	1138	412
734	1140	411
735	1141	409
736	1142	407
737	1144	406
738	1145	404
739	1146	402
740	1147	401
741	1149	399
